"month","year","monthly_sum"
12,2000,213.827
12,2000,209.803
12,2000,259.102
12,2000,206.403
12,2000,217.641
12,2000,216.817
12,2000,224.605
12,2000,201.278
1,2001,821.007375
1,2001,794.808
1,2001,904.61
1,2001,787.990875
1,2001,786.420875
1,2001,803.620125
1,2001,835.6935
1,2001,759.782625
2,2001,722.524375
2,2001,645.382
2,2001,734.64675
2,2001,595.668625
2,2001,674.021375
2,2001,683.67025
2,2001,685.044
2,2001,654.65425
3,2001,626.3165
3,2001,537.13425
3,2001,593.8295
3,2001,508.31925
3,2001,586.15225
3,2001,587.481125
3,2001,557.9565
3,2001,561.649125
5,2001,343.401
5,2001,349.383
7,2001,251.204125
7,2001,256.033
7,2001,301.129
7,2001,257.069375
7,2001,268.80025
7,2001,255.985125
7,2001,255.28225
7,2001,266.472125
8,2001,311.897
8,2001,317.147625
8,2001,362.68525
8,2001,302.752625
8,2001,326.065875
8,2001,319.2245
8,2001,314.96125
8,2001,323.22575
10,2001,720.935875
10,2001,719.928
10,2001,896.145375
10,2001,739.007125
10,2001,796.5615
10,2001,753.536
10,2001,765.104375
10,2001,764.797
11,2001,968.06425
11,2001,962.0905
11,2001,1117.063
11,2001,976.5435
11,2001,982.758
11,2001,985.9475
11,2001,934.45175
11,2001,1004.35775
12,2001,961.4255
12,2001,997.14175
12,2001,1158.757
12,2001,1018.905375
12,2001,1036.956
12,2001,1013.12725
12,2001,973.30625
12,2001,1058.903125
1,2002,879.42625
1,2002,779.788625
1,2002,949.817125
1,2002,830.898625
1,2002,791.0005
1,2002,819.26825
1,2002,861.128
1,2002,741.00375
2,2002,828.23425
2,2002,785.318
2,2002,856.16975
2,2002,708.087125
2,2002,834.1035
2,2002,838.752625
2,2002,830.349625
2,2002,819.62525
4,2002,503.692
4,2002,486.67775
4,2002,536.23825
4,2002,504.07525
4,2002,527.41075
4,2002,506.67775
4,2002,505.1645
4,2002,518.4765
6,2002,229.916625
7,2002,252.014
7,2002,281.7425
7,2002,262.338
7,2002,257.438375
7,2002,253.7865
7,2002,259.440375
7,2002,252.962
8,2002,298.8925
8,2002,290.9845
8,2002,333.495125
8,2002,303.00175
8,2002,311.10675
8,2002,300.98675
8,2002,310.913
8,2002,297.904125
9,2002,440.273625
9,2002,437.88225
9,2002,513.878875
9,2002,440.09425
9,2002,463.04975
9,2002,445.42125
9,2002,448.50375
9,2002,451.628625
10,2002,720.757875
10,2002,693.30225
10,2002,799.357
10,2002,686.596
10,2002,732.071
10,2002,721.5575
10,2002,725.85875
10,2002,712.32425
11,2002,1006.06475
11,2002,979.57
11,2002,1051.015
11,2002,916.77075
11,2002,967.56825
11,2002,1032.01925
11,2002,980.5545
11,2002,959.13
12,2002,997.9415
1,2003,865.341125
1,2003,914.39975
1,2003,1063.843375
1,2003,862.12375
1,2003,911.917
1,2003,938.814375
1,2003,824.9365
1,2003,914.15475
6,2003,291.563125
6,2003,292.880375
7,2003,307.2555
7,2003,309.596
8,2003,331.8935
8,2003,366.90075
8,2003,340.7085
8,2003,336.9235
8,2003,336.091
8,2003,333.244875
9,2003,426.774875
9,2003,445.09725
9,2003,429.319375
9,2003,431.7775
9,2003,431.42625
9,2003,427.02825
10,2003,573.388125
10,2003,571.92575
10,2003,649.4595
10,2003,567.309625
10,2003,601.9375
10,2003,559.4395
10,2003,592.27675
10,2003,604.525875
11,2003,757.67325
11,2003,768.65875
11,2003,890.0365
11,2003,788.57825
11,2003,864.085
11,2003,792.9475
11,2003,851.098
11,2003,811.2625
12,2003,890.415125
12,2003,859.993625
2,2004,749.632625
2,2004,733.80625
2,2004,754.620375
2,2004,717.85825
2,2004,761.10575
2,2004,745.58025
2,2004,763.8445
2,2004,753.140125
3,2004,613.848125
3,2004,612.568125
3,2004,620.39575
3,2004,584.738375
3,2004,608.7645
3,2004,622.209625
3,2004,616.8235
3,2004,606.4595
4,2004,400.13875
4,2004,394.753125
4,2004,400.561875
4,2004,401.176625
4,2004,403.268375
5,2004,339.551125
5,2004,343.44625
5,2004,349.928875
5,2004,349.5735
5,2004,345.131625
5,2004,341.53275
5,2004,343.155125
5,2004,343.901
6,2004,295.616
6,2004,302.117
6,2004,302.1025
6,2004,301.3245
6,2004,299.391
6,2004,300.67825
6,2004,302.368
7,2004,246.076
7,2004,247.03925
7,2004,255.80075
7,2004,245.929125
7,2004,247.303875
7,2004,247.162375
7,2004,245.38825
8,2004,341.458
8,2004,337.15275
8,2004,363.83475
8,2004,353.821375
8,2004,342.4495
8,2004,340.314125
8,2004,344.279375
8,2004,339.22025
9,2004,475.87025
9,2004,467.79225
9,2004,456.848
9,2004,462.3725
9,2004,471.20225
9,2004,477.574
9,2004,480.0885
9,2004,472.4955
10,2004,629.034
11,2004,787.2265
12,2004,815.27225
12,2004,842.207875
12,2004,782.2855
12,2004,825.390625
1,2005,583.536875
1,2005,561.48875
1,2005,547.79375
1,2005,496.654125
1,2005,572.73525
1,2005,602.797375
1,2005,582.4525
1,2005,625.243375
2,2005,772.411625
2,2005,488.595625
2,2005,538.30425
2,2005,484.085
2,2005,609.4
2,2005,652.764625
2,2005,723.374625
2,2005,512.42575
3,2005,510.748875
4,2005,467.384
5,2005,396.475125
5,2005,399.002125
5,2005,400.8985
5,2005,399.601875
5,2005,400.18925
5,2005,397.34375
5,2005,399.201875
5,2005,399.061
9,2005,497.66425
9,2005,503.611
9,2005,504.219
9,2005,514.39475
9,2005,500.7625
9,2005,521.14675
9,2005,499.073875
10,2005,686.537125
10,2005,659.530875
10,2005,646.581625
10,2005,634.20425
10,2005,690.023625
10,2005,680.647875
10,2005,719.39225
10,2005,649.642
11,2005,817.765
11,2005,766.70025
11,2005,806.2075
11,2005,792.98
11,2005,839.52825
11,2005,804.469
11,2005,875.65175
11,2005,786.99325
12,2005,708.718875
12,2005,686.353
12,2005,788.015125
12,2005,739.09175
12,2005,725.523625
12,2005,706.786375
12,2005,727.021125
12,2005,695.975375
1,2006,620.44575
1,2006,614.601125
1,2006,640.7945
1,2006,584.547875
1,2006,654.83975
1,2006,627.195375
1,2006,676.939625
1,2006,596.971125
2,2006,466.58825
2,2006,540.024125
2,2006,491.553125
2,2006,521.948375
3,2006,468.3655
3,2006,502.949125
3,2006,641.203625
3,2006,611.129125
3,2006,537.186125
3,2006,486.4005
3,2006,498.87475
3,2006,548.524375
4,2006,290.8985
4,2006,315.88
4,2006,403.924
4,2006,374.98125
4,2006,351.79
4,2006,305.249
4,2006,308.29625
4,2006,350.87425
7,2006,326.269
7,2006,331.129625
7,2006,341.514
7,2006,340.329875
7,2006,341.284125
7,2006,329.855875
7,2006,336.00025
7,2006,336.123875
8,2006,333.69175
8,2006,342.190625
8,2006,337.89
8,2006,340.318375
8,2006,335.240875
8,2006,342.28075
8,2006,332.92925
9,2006,406.591
9,2006,405.12725
9,2006,438.7915
9,2006,424.035125
9,2006,454.026125
9,2006,419.211875
9,2006,452.017125
9,2006,419.227875
10,2006,577.70275
10,2006,560.96675
10,2006,714.200375
10,2006,748.284375
10,2006,638.5135
10,2006,574.89325
10,2006,611.699125
10,2006,611.475375
11,2006,718.9225
11,2006,701.357
11,2006,876.99175
11,2006,832.9035
11,2006,804.297
11,2006,704.29725
11,2006,753.16725
11,2006,755.56325
12,2006,723.5295
12,2006,796.00625
12,2006,937.644375
12,2006,891.100875
12,2006,852.604625
12,2006,772.79325
12,2006,802.33975
12,2006,848.739875
1,2007,1021.106
1,2007,1007.271125
1,2007,994.622125
1,2007,959.604875
1,2007,1052.31675
1,2007,1033.3005
1,2007,1079.494125
1,2007,1017.388125
3,2007,632.244
3,2007,631.728125
3,2007,635.20725
3,2007,608.84375
3,2007,653.80325
3,2007,633.7265
3,2007,644.91975
3,2007,633.53775
4,2007,601.90725
4,2007,569.3445
4,2007,579.91825
4,2007,571.82
4,2007,600.3305
4,2007,591.6865
4,2007,590.13275
4,2007,573.46475
5,2007,357.115125
5,2007,354.953125
5,2007,355.20725
5,2007,343.99525
5,2007,358.666375
5,2007,365.243625
5,2007,358.588875
5,2007,362.5345
6,2007,304.05275
6,2007,297.195375
6,2007,299.607375
7,2007,249.183125
7,2007,257.947375
7,2007,271.333
7,2007,266.9765
7,2007,260.34725
7,2007,253.090125
7,2007,251.790875
7,2007,261.451625
9,2007,540.870125
9,2007,556.135375
10,2007,906.54625
10,2007,854.759625
10,2007,825.292625
10,2007,827.595
10,2007,876.699875
10,2007,881.37375
10,2007,917.152625
10,2007,823.984
11,2007,1040.23225
11,2007,1052.581
11,2007,1049.57925
11,2007,1020.42975
11,2007,1006.93575
11,2007,1044.96125
11,2007,1003.2175
11,2007,1017.669
12,2007,918.421125
12,2007,1018.056125
12,2007,1115.0825
12,2007,1077.41
12,2007,962.14425
12,2007,961.05925
12,2007,872.24675
12,2007,1028.895375
1,2008,885.621625
1,2008,992.945625
1,2008,1076.181375
1,2008,1005.31125
1,2008,936.42275
1,2008,936.291875
1,2008,872.0865
1,2008,998.49075
2,2008,697.582875
2,2008,923.050375
2,2008,1055.299625
2,2008,1032.44275
2,2008,806.79125
2,2008,795.684625
2,2008,698.569
2,2008,892.87625
4,2008,391.64575
4,2008,446.21075
4,2008,537.617125
4,2008,490.960125
4,2008,473.5595
4,2008,432.05825
4,2008,411.69275
4,2008,465.6305
5,2008,283.68725
5,2008,307.188375
5,2008,335.8045
5,2008,327.20525
5,2008,301.72775
5,2008,297.14
5,2008,292.098875
5,2008,309.164
6,2008,291.748
6,2008,301.85575
6,2008,293.80475
6,2008,290.904
6,2008,289.63775
6,2008,294.808
7,2008,335.9905
7,2008,358.757125
7,2008,341.3585
7,2008,332.687
7,2008,337.52125
7,2008,342.392
10,2008,793.11575
10,2008,680.461375
10,2008,752.22625
10,2008,689.654
10,2008,853.281125
10,2008,773.756625
10,2008,890.23175
10,2008,712.520875
11,2008,1042.6835
11,2008,923.2585
11,2008,992.555875
11,2008,935.64725
11,2008,1028.651625
11,2008,1003.562625
11,2008,1037.606875
11,2008,958.75475
12,2008,1011.9885
12,2008,1074.193375
12,2008,1225.848125
12,2008,1257.19825
12,2008,1034.55525
12,2008,1050.135
12,2008,1069.701625
12,2008,1060.504625
1,2009,736.407875
