"month","year","monthly_sum"
12,2000,224.605
1,2001,835.6935
2,2001,685.044
3,2001,557.9565
7,2001,255.28225
8,2001,314.96125
10,2001,765.104375
11,2001,934.45175
12,2001,973.30625
1,2002,861.128
2,2002,830.349625
4,2002,505.1645
6,2002,229.916625
7,2002,259.440375
8,2002,310.913
9,2002,448.50375
10,2002,725.85875
11,2002,980.5545
12,2002,997.9415
1,2003,824.9365
6,2003,292.880375
7,2003,309.596
8,2003,336.091
9,2003,431.42625
10,2003,592.27675
11,2003,851.098
12,2003,859.993625
2,2004,763.8445
3,2004,616.8235
4,2004,403.268375
5,2004,343.155125
6,2004,300.67825
7,2004,247.162375
8,2004,344.279375
9,2004,480.0885
1,2005,582.4525
2,2005,723.374625
3,2005,510.748875
4,2005,467.384
5,2005,399.201875
9,2005,521.14675
10,2005,719.39225
11,2005,875.65175
12,2005,727.021125
1,2006,676.939625
2,2006,521.948375
3,2006,498.87475
4,2006,308.29625
7,2006,336.00025
8,2006,342.28075
9,2006,452.017125
10,2006,611.699125
11,2006,753.16725
12,2006,802.33975
1,2007,1079.494125
3,2007,644.91975
4,2007,590.13275
5,2007,358.588875
7,2007,251.790875
9,2007,556.135375
10,2007,917.152625
11,2007,1003.2175
12,2007,872.24675
1,2008,872.0865
2,2008,698.569
4,2008,411.69275
5,2008,292.098875
6,2008,289.63775
7,2008,337.52125
10,2008,890.23175
11,2008,1037.606875
12,2008,1069.701625
1,2009,758.776375
3,2009,837.132375
4,2009,409.73
6,2009,252.3605
7,2009,257.87475
8,2009,340.072
9,2009,487.77075
10,2009,708.54325
11,2009,951.59475
12,2009,1204.2575
1,2010,1269.69425
2,2010,1006.595
3,2010,822.82225
4,2010,474.1235
7,2010,251.85025
9,2010,551.11325
10,2010,751.851375
11,2010,779.4075
12,2010,785.121375
1,2011,923.127125
2,2011,935.125125
3,2011,857.30925
4,2011,567.2455
5,2011,376.404625
8,2011,341.382875
9,2011,491.819
10,2011,747.694125
11,2011,948.8585
12,2011,701.231875
1,2012,676.2425
2,2012,828.268
3,2012,896.648875
4,2012,508.505625
5,2012,355.828
6,2012,287.19025
7,2012,281.97375
8,2012,413.1685
9,2012,521.62675
10,2012,805.594875
11,2012,989.255625
12,2012,1154.211
2,2013,866.6965
3,2013,809.678875
4,2013,588.651
5,2013,367.584125
6,2013,314.930375
7,2013,295.2795
8,2013,349.354
9,2013,463.41275
10,2013,796.73425
11,2013,1091.58775
1,2014,1155.841375
2,2014,1032.87125
3,2014,903.659375
4,2014,507.82
6,2014,291.375875
7,2014,338.11575
8,2014,435.233875
10,2014,911.018875
11,2014,1242.438
12,2014,1155.024125
1,2015,1281.364875
2,2015,979.001625
3,2015,903.252
4,2015,563.9605
5,2015,337.912375
6,2015,269.164375
7,2015,366.53125
9,2015,605.54325
10,2015,758.028
11,2015,1094.309
12,2015,1067.619625
1,2016,1341.336625
2,2016,1161.799875
7,2016,363.213875
9,2016,593.505
10,2016,894.152375
11,2016,1135.049
12,2016,907.869125
1,2017,1387.33225
2,2017,1165.18875
3,2017,1106.694
4,2017,542.684
5,2017,356.9495
6,2017,345.09175
10,2017,889.945125
11,2017,980.08875
12,2017,832.375
1,2018,870.467875
2,2018,743.1735
3,2018,744.082625
5,2018,379.094375
6,2018,301.714
7,2018,334.404625
8,2018,432.5525
9,2018,666.07
10,2018,958.3725
11,2018,1103.38325
12,2018,974.369625
2,2019,1162.293625
3,2019,945.277125
4,2019,566.967
5,2019,369.155125
6,2019,298.529625
7,2019,334.80075
8,2019,411.50675
9,2019,561.7945
10,2019,917.15725
11,2019,1279.7685
12,2019,1273.375125
1,2020,1408.529625
2,2020,1009.579875
3,2020,834.35325
4,2020,518.159875
5,2020,368.335375
6,2020,311.58
7,2020,340.701
8,2020,380.0155
9,2020,504.885
10,2020,852.87325
11,2020,947.36325
12,2020,975.917
1,2021,908.722875
2,2021,982.321625
