system:time_start,undefined
"Jan 1, 2001",216.817
"Jan 9, 2001",230.21
"Jan 17, 2001",215.091
"Jan 25, 2001",204.971
"Feb 2, 2001",175.255
"Feb 10, 2001",185.856
"Feb 18, 2001",195.423
"Feb 26, 2001",206.558
"Mar 6, 2001",197.137
"Mar 14, 2001",159.38
"Mar 22, 2001",109.827
"Mar 30, 2001",153.683
"Apr 7, 2001",165.522
"Apr 15, 2001",154.5
"Apr 23, 2001",
"May 1, 2001",
"May 9, 2001",72
"May 17, 2001",94.385
"May 25, 2001",87.024
"Jun 2, 2001",
"Jun 10, 2001",95.053
"Jun 18, 2001",40.226
"Jul 4, 2001",74.663
"Jul 12, 2001",67.808
"Jul 20, 2001",59.356
"Jul 28, 2001",64.486
"Aug 5, 2001",72.673
"Aug 13, 2001",66
"Aug 21, 2001",76.712
"Aug 29, 2001",101.659
"Sep 6, 2001",102.712
"Sep 14, 2001",96.163
"Sep 22, 2001",115.077
"Sep 30, 2001",
"Oct 8, 2001",179.76
"Oct 16, 2001",213.024
"Oct 24, 2001",197.486
"Nov 1, 2001",185.736
"Nov 9, 2001",274.923
"Nov 17, 2001",261.813
"Nov 25, 2001",247.49
"Dec 3, 2001",268.962
"Dec 11, 2001",240.245
"Dec 19, 2001",262.457
"Dec 27, 2001",197.534
"Jan 1, 2002",319.726
"Jan 9, 2002",179.413
"Jan 17, 2002",215.303
"Jan 25, 2002",209.563
"Feb 2, 2002",245.702
"Feb 10, 2002",294.837
"Feb 18, 2002",232.865
"Feb 26, 2002",202.567
"Mar 6, 2002",207.389
"Mar 14, 2002",200.005
"Mar 22, 2002",
"Mar 30, 2002",196.486
"Apr 7, 2002",184.673
"Apr 15, 2002",150.769
"Apr 23, 2002",111.553
"May 1, 2002",105.851
"May 9, 2002",118.168
"May 17, 2002",90
"May 25, 2002",
"Jun 2, 2002",89
"Jun 10, 2002",63.154
"Jun 18, 2002",
"Jun 26, 2002",57.644
"Jul 4, 2002",67
"Jul 12, 2002",57.231
"Jul 20, 2002",69.813
"Jul 28, 2002",68.197
"Aug 5, 2002",66.841
"Aug 13, 2002",66.553
"Aug 21, 2002",88.356
"Aug 29, 2002",78.188
"Sep 6, 2002",91.918
"Sep 14, 2002",96.731
"Sep 22, 2002",125.226
"Sep 30, 2002",142.236
"Oct 8, 2002",190.236
"Oct 16, 2002",189.692
"Oct 24, 2002",153.058
"Nov 1, 2002",212.351
"Nov 9, 2002",257.154
"Nov 17, 2002",208.62
"Nov 25, 2002",358.106
"Dec 3, 2002",277.519
"Dec 11, 2002",308.106
"Dec 19, 2002",246.764
"Dec 27, 2002",
"Jan 1, 2003",308.365
"Jan 9, 2003",243.245
"Jan 17, 2003",275.008
"Jan 25, 2003",291.659
"Feb 2, 2003",147.317
"Feb 10, 2003",284.106
"Feb 18, 2003",214.726
"Feb 26, 2003",260.995
"Mar 6, 2003",
"Mar 14, 2003",186.88
"Mar 22, 2003",187.476
"Mar 30, 2003",170
"Apr 7, 2003",147.89
"Apr 15, 2003",121.736
"Apr 23, 2003",
"May 1, 2003",91.365
"May 9, 2003",93.481
"May 17, 2003",
"May 25, 2003",81.351
"Jun 2, 2003",71.385
"Jun 10, 2003",75.957
"Jun 18, 2003",65.712
"Jun 26, 2003",97.221
"Jul 4, 2003",70
"Jul 12, 2003",74.226
"Jul 20, 2003",74.47
"Jul 28, 2003",
"Aug 5, 2003",74.123
"Aug 13, 2003",71.13
"Aug 21, 2003",86
"Aug 29, 2003",101
"Sep 6, 2003",
"Sep 14, 2003",93.678
"Sep 22, 2003",110.784
"Sep 30, 2003",148.221
"Oct 8, 2003",108.716
"Oct 16, 2003",135
"Oct 24, 2003",162.529
"Nov 1, 2003",166.784
"Nov 9, 2003",185.938
"Nov 17, 2003",193.75
"Nov 25, 2003",236.606
"Dec 3, 2003",235.538
"Dec 11, 2003",
"Dec 19, 2003",
"Dec 27, 2003",165.601
"Jan 1, 2004",245.317
"Jan 9, 2004",235.139
"Jan 17, 2004",
"Jan 25, 2004",248.543
"Feb 2, 2004",210.986
"Feb 10, 2004",247.923
"Feb 18, 2004",187.774
"Feb 26, 2004",196.731
"Mar 5, 2004",173.558
"Mar 13, 2004",179.947
"Mar 21, 2004",172.673
"Mar 29, 2004",129.135
"Apr 6, 2004",143.135
"Apr 14, 2004",105.739
"Apr 22, 2004",97.462
"Apr 30, 2004",94
"May 8, 2004",116.13
"May 16, 2004",71.221
"May 24, 2004",84.611
"Jun 1, 2004",84.087
"Jun 9, 2004",67.13
"Jun 17, 2004",83.577
"Jun 25, 2004",102.058
"Jul 3, 2004",62.168
"Jul 11, 2004",55.168
"Jul 19, 2004",62.857
"Jul 27, 2004",72
"Aug 4, 2004",66.779
"Aug 12, 2004",73
"Aug 20, 2004",72
"Aug 28, 2004",113.553
"Sep 5, 2004",113.438
"Sep 13, 2004",116.549
"Sep 21, 2004",141.01
"Sep 29, 2004",124.582
"Oct 7, 2004",154.856
"Oct 15, 2004",170.236
"Oct 23, 2004",161.5
"Oct 31, 2004",210.88
"Nov 8, 2004",
"Nov 16, 2004",258.358
"Nov 24, 2004",285.865
"Dec 2, 2004",273.596
"Dec 10, 2004",304.856
"Dec 18, 2004",245.375
"Dec 26, 2004",
"Jan 1, 2005",198.014
"Jan 9, 2005",196.803
"Jan 17, 2005",147.688
"Jan 25, 2005",147.716
"Feb 2, 2005",126.389
"Feb 10, 2005",169.476
"Feb 18, 2005",228.106
"Feb 26, 2005",198.053
"Mar 6, 2005",110.216
"Mar 14, 2005",158
"Mar 22, 2005",138.231
"Mar 30, 2005",147.298
"Apr 7, 2005",
"Apr 15, 2005",138.183
"Apr 23, 2005",100
"May 1, 2005",101.356
"May 9, 2005",107.096
"May 17, 2005",92.553
"May 25, 2005",97.894
"Jun 2, 2005",114.058
"Jun 10, 2005",
"Jun 18, 2005",79.617
"Jun 26, 2005",110.091
"Jul 4, 2005",76.255
"Jul 12, 2005",
"Jul 20, 2005",67.26
"Jul 28, 2005",93
"Aug 5, 2005",78.572
"Aug 13, 2005",
"Aug 21, 2005",97.611
"Aug 29, 2005",103.452
"Sep 6, 2005",106.519
"Sep 14, 2005",136.226
"Sep 22, 2005",121
"Sep 30, 2005",154
"Oct 8, 2005",183.697
"Oct 16, 2005",176.663
"Oct 24, 2005",170.038
"Nov 1, 2005",173.212
"Nov 9, 2005",193.635
"Nov 17, 2005",249.88
"Nov 25, 2005",221.067
"Dec 3, 2005",186.516
"Dec 11, 2005",228.264
"Dec 19, 2005",204.144
"Dec 27, 2005",115.591
