system:time_start,undefined
"Jan 1, 2001",18.55
"Jan 9, 2001",21.934
"Jan 17, 2001",21.013
"Jan 25, 2001",21.463
"Feb 2, 2001",18.939
"Feb 10, 2001",18.869
"Feb 18, 2001",17.14
"Feb 26, 2001",18.105
"Mar 6, 2001",18.293
"Mar 14, 2001",20.729
"Mar 22, 2001",14.476
"Mar 30, 2001",16.1
"Apr 7, 2001",14.969
"Apr 15, 2001",18.454
"Apr 23, 2001",11.31
"May 1, 2001",11.55
"May 9, 2001",10.983
"May 17, 2001",11.62
"May 25, 2001",10.934
"Jun 2, 2001",9.952
"Jun 10, 2001",11.389
"Jul 4, 2001",11.127
"Jul 12, 2001",11.358
"Jul 20, 2001",10.633
"Jul 28, 2001",9.729
"Aug 5, 2001",11.266
"Aug 13, 2001",10.38
"Aug 21, 2001",11.17
"Aug 29, 2001",11
"Sep 6, 2001",12.402
"Sep 14, 2001",12.214
"Sep 22, 2001",14.843
"Sep 30, 2001",14.734
"Oct 8, 2001",18.838
"Oct 16, 2001",18.376
"Oct 24, 2001",20.581
"Nov 1, 2001",21.052
"Nov 9, 2001",23.585
"Nov 17, 2001",24.022
"Nov 25, 2001",22.686
"Dec 3, 2001",22.603
"Dec 11, 2001",22.55
"Dec 19, 2001",23.48
"Dec 27, 2001",22.336
"Jan 1, 2002",24.83
"Jan 9, 2002",22.017
"Jan 25, 2002",22.681
"Feb 2, 2002",21.485
"Feb 10, 2002",22.725
"Feb 18, 2002",21.07
"Feb 26, 2002",21.467
"Mar 6, 2002",21.734
"Mar 14, 2002",23.603
"Mar 22, 2002",20.17
"Mar 30, 2002",22.961
"Apr 7, 2002",18.965
"Apr 15, 2002",18.965
"Apr 23, 2002",16.699
"May 1, 2002",16.319
"May 9, 2002",14.856
"May 17, 2002",17.856
"May 25, 2002",10.961
"Jun 2, 2002",13.197
"Jun 10, 2002",13.79
"Jun 18, 2002",12.838
"Jun 26, 2002",10.585
"Jul 4, 2002",12.131
"Jul 12, 2002",12.127
"Jul 20, 2002",11.869
"Jul 28, 2002",9.585
"Aug 5, 2002",10.397
"Aug 13, 2002",10.489
"Aug 21, 2002",11.572
"Aug 29, 2002",12.485
"Sep 6, 2002",12.668
"Sep 14, 2002",15.362
"Sep 22, 2002",15.48
"Sep 30, 2002",16.306
"Oct 8, 2002",16.769
"Oct 16, 2002",19.952
"Oct 24, 2002",18.262
"Nov 1, 2002",22.253
"Nov 9, 2002",20.245
"Nov 17, 2002",24.057
"Nov 25, 2002",24.07
"Dec 3, 2002",22.913
"Dec 11, 2002",23.9
"Dec 19, 2002",23.415
"Dec 27, 2002",17.48
"Jan 1, 2003",22.79
"Jan 9, 2003",20.921
"Jan 17, 2003",20.524
"Jan 25, 2003",22.262
"Feb 2, 2003",20.249
"Feb 10, 2003",25.397
"Feb 18, 2003",25.441
"Feb 26, 2003",22.655
"Mar 6, 2003",17.873
"Mar 14, 2003",20.306
"Mar 22, 2003",18.052
"Mar 30, 2003",16.14
"Apr 7, 2003",14.856
"Apr 15, 2003",17.17
"Apr 23, 2003",12.489
"May 1, 2003",13.197
"May 9, 2003",12.41
"May 17, 2003",9.507
"May 25, 2003",10.428
"Jun 2, 2003",15.271
"Jun 10, 2003",9.502
"Jun 18, 2003",9.856
"Jun 26, 2003",7.432
"Jul 4, 2003",11.236
"Jul 12, 2003",8.603
"Jul 20, 2003",9.389
"Jul 28, 2003",8.852
"Aug 5, 2003",8.747
"Aug 13, 2003",9.122
"Aug 21, 2003",7.76
"Aug 29, 2003",10.013
"Sep 6, 2003",8.786
"Sep 14, 2003",9.031
"Sep 22, 2003",9.026
"Sep 30, 2003",9.659
"Oct 8, 2003",12.476
"Oct 16, 2003",15.301
"Oct 24, 2003",17.926
"Nov 1, 2003",18.118
"Nov 9, 2003",20.537
"Nov 17, 2003",20.76
"Nov 25, 2003",23.349
"Dec 3, 2003",21.769
"Dec 11, 2003",20.576
"Dec 19, 2003",16.183
"Dec 27, 2003",19.895
"Jan 1, 2004",15.459
"Jan 9, 2004",14.721
"Jan 17, 2004",13.367
"Jan 25, 2004",17.118
"Feb 2, 2004",14.939
"Feb 10, 2004",17.183
"Feb 18, 2004",15.738
"Feb 26, 2004",15.738
"Mar 5, 2004",15.821
"Mar 13, 2004",13.834
"Mar 21, 2004",13.817
"Mar 29, 2004",11.742
"Apr 6, 2004",11.092
"Apr 14, 2004",10.472
"Apr 22, 2004",10.655
"Apr 30, 2004",10.188
"May 8, 2004",10.183
"May 16, 2004",9.834
"May 24, 2004",9.109
"Jun 1, 2004",8.738
"Jun 9, 2004",8
"Jun 17, 2004",6.987
"Jun 25, 2004",6.459
"Jul 3, 2004",8.188
"Jul 11, 2004",8.092
"Jul 19, 2004",8.188
"Jul 27, 2004",7.541
"Aug 4, 2004",7.555
"Aug 12, 2004",8.188
"Aug 20, 2004",8.201
"Aug 28, 2004",10.1
"Sep 5, 2004",10.114
"Sep 13, 2004",11.114
"Sep 21, 2004",11.371
"Sep 29, 2004",12.109
"Oct 7, 2004",13.288
"Oct 15, 2004",13.38
"Oct 23, 2004",14.362
"Oct 31, 2004",15.284
"Nov 8, 2004",14.153
"Nov 16, 2004",16.271
"Nov 24, 2004",17.437
"Dec 2, 2004",17.528
"Dec 10, 2004",16.38
"Dec 18, 2004",16.105
"Dec 26, 2004",16.022
"Jan 1, 2005",16.367
"Jan 9, 2005",14.707
"Jan 17, 2005",13.983
"Jan 25, 2005",12.742
"Feb 2, 2005",12.646
"Feb 10, 2005",11.659
"Feb 18, 2005",12.026
"Feb 26, 2005",12.493
"Mar 6, 2005",11.943
"Mar 14, 2005",11.205
"Mar 22, 2005",11.852
"Mar 30, 2005",11.205
"Apr 7, 2005",10.205
"Apr 15, 2005",10.812
"Apr 23, 2005",10.555
"May 1, 2005",10.201
"May 9, 2005",9.472
"May 17, 2005",10.742
"May 25, 2005",10.017
"Jun 2, 2005",9.742
"Jun 10, 2005",11.725
"Jun 18, 2005",8.742
"Jun 26, 2005",9.013
"Jul 4, 2005",10.576
"Jul 12, 2005",10
"Jul 20, 2005",8.852
"Jul 28, 2005",9.485
"Aug 5, 2005",9.742
"Aug 13, 2005",8.852
"Aug 21, 2005",9.109
"Aug 29, 2005",10.354
"Sep 6, 2005",9.948
"Sep 14, 2005",10.109
"Sep 22, 2005",10.205
"Sep 30, 2005",13.092
"Oct 8, 2005",12.852
"Oct 16, 2005",14.105
"Oct 24, 2005",13.472
"Nov 1, 2005",14.852
"Nov 9, 2005",14.943
"Nov 17, 2005",15.201
"Nov 25, 2005",16.581
"Dec 3, 2005",15.039
"Dec 11, 2005",14.825
"Dec 19, 2005",14.039
"Dec 27, 2005",14.838
"Jan 1, 2006",13.729
"Jan 9, 2006",12.467
"Jan 17, 2006",12.834
"Jan 25, 2006",13.052
"Feb 2, 2006",12.742
"Feb 10, 2006",12.598
"Feb 18, 2006",12.581
"Feb 26, 2006",11.834
"Mar 6, 2006",12.83
"Mar 14, 2006",11.93
"Mar 22, 2006",13.188
"Mar 30, 2006",12.393
"Apr 7, 2006",12.384
"Apr 15, 2006",10.93
"Apr 23, 2006",10.127
"May 1, 2006",10.022
"May 9, 2006",10.188
"May 17, 2006",9.926
"May 25, 2006",9.537
"Jun 2, 2006",9.188
"Jun 10, 2006",8.913
"Jun 18, 2006",8.838
"Jun 26, 2006",8.188
"Jul 4, 2006",8.201
"Jul 12, 2006",8.834
"Jul 20, 2006",8.834
"Jul 28, 2006",8.838
"Aug 5, 2006",8.201
"Aug 13, 2006",8.205
"Aug 21, 2006",8.463
"Aug 29, 2006",8.463
"Sep 6, 2006",10.017
"Sep 14, 2006",10.188
"Sep 22, 2006",10.297
"Sep 30, 2006",11.044
"Oct 8, 2006",12.026
"Oct 16, 2006",13.031
"Oct 24, 2006",13.769
"Nov 1, 2006",14.677
"Nov 9, 2006",15.93
"Nov 17, 2006",15.93
"Nov 25, 2006",15.93
"Dec 3, 2006",15.93
"Dec 11, 2006",16.284
"Dec 19, 2006",16.192
"Dec 27, 2006",17.934
"Jan 1, 2007",17.279
"Jan 9, 2007",17.843
"Jan 17, 2007",17.843
"Jan 25, 2007",18.201
"Feb 2, 2007",19.297
"Feb 10, 2007",18.314
"Feb 18, 2007",18.306
"Feb 26, 2007",16.961
"Mar 6, 2007",15.9
"Mar 14, 2007",10.773
"Mar 22, 2007",12.314
"Mar 30, 2007",12.659
"Apr 7, 2007",12.773
"Apr 15, 2007",13.751
"Apr 23, 2007",14.511
"May 1, 2007",12.821
"May 9, 2007",13.022
"May 17, 2007",12.734
"May 25, 2007",11.188
"Jun 2, 2007",11.21
"Jun 10, 2007",11.031
"Jun 18, 2007",10.568
"Jun 26, 2007",9.568
"Jul 4, 2007",9.306
"Jul 12, 2007",9.105
"Jul 20, 2007",8.201
"Jul 28, 2007",8.096
"Aug 5, 2007",8.939
"Aug 13, 2007",8.201
"Aug 21, 2007",7.197
"Aug 29, 2007",7.297
"Sep 6, 2007",9.214
"Sep 14, 2007",9.568
"Sep 22, 2007",9.576
"Sep 30, 2007",11.31
"Oct 8, 2007",12.555
"Oct 16, 2007",13.371
"Oct 24, 2007",14.463
"Nov 1, 2007",17.362
"Nov 9, 2007",17.904
"Nov 17, 2007",16.293
"Nov 25, 2007",16.463
"Dec 3, 2007",17.834
"Dec 11, 2007",17.546
"Dec 19, 2007",15.642
"Dec 27, 2007",16.118
"Jan 1, 2008",16.847
"Jan 9, 2008",18.21
"Jan 17, 2008",19.223
"Jan 25, 2008",19.755
"Feb 2, 2008",19.419
"Feb 10, 2008",21.144
"Feb 18, 2008",19.122
"Feb 26, 2008",17.786
"Mar 5, 2008",18.463
"Mar 13, 2008",17.734
"Mar 21, 2008",16.738
"Mar 29, 2008",16.485
"Apr 6, 2008",13.581
"Apr 14, 2008",13.301
"Apr 22, 2008",12.908
"Apr 30, 2008",10.817
"May 8, 2008",10.838
"May 16, 2008",10.729
"May 24, 2008",10.279
"Jun 1, 2008",10.293
"Jun 9, 2008",9.201
"Jun 17, 2008",9.93
"Jun 25, 2008",9.301
